Algorithm,Series,Iterations,T0,Tf,L,coolingFunction,Execution,MSE,Time
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,9,1.2506127625014383,4.450774669647217
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,10,1.2385544908904502,4.4956841468811035
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,11,1.2967418760477551,4.4389283657073975
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,12,1.099643268181662,4.449599742889404
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,13,1.232414611870569,4.569498538970947
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,14,1.28781906247401,4.432986736297607
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,15,1.2371734500411853,4.4675891399383545
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,16,1.1501113092061297,4.467385768890381
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,17,1.258893245432875,4.560983419418335
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,18,1.3075707089688646,4.351653814315796
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,19,1.3224142611946021,4.628342151641846
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,20,1.3203099440591604,4.543810129165649
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,1,0.8254118255314609,4.188639402389526
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,2,0.7273816877516606,4.138851881027222
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,3,0.9717365846936423,4.192728519439697
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,4,0.7772584980551183,4.1344053745269775
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,5,0.7249687524486521,4.034754753112793
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,6,0.7956659713645051,4.174269199371338
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,7,0.8756336641072698,4.113070011138916
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,8,0.9835716411137513,4.268442869186401
SA_GeometricCooling,TS4.txt,200,10,0.01,30,Geometric,9,0.9357477481242191,3.905341625213623
